Country,Date,No. of confirmed cases,No. of confirmed deaths
United Kingdom,07/04/2015,1,
Liberia,07/04/2015,3151,
Liberia,09/04/2015,3151,
Mali,09/04/2015,7,
Senegal,09/04/2015,1,0
Guinea,09/04/2015,3093,1921
Sierra Leone,09/04/2015,8558,3475
United States of America,09/04/2015,4,1
United Kingdom,09/04/2015,1,
Nigeria,09/04/2015,19,7
Spain,09/04/2015,1,0
Senegal,13/04/2015,1,0
Mali,13/04/2015,7,
Spain,13/04/2015,1,0
Guinea,13/04/2015,3112,1928
Sierra Leone,13/04/2015,8560,3488
United States of America,13/04/2015,4,1
Nigeria,13/04/2015,19,7
United Kingdom,13/04/2015,1,
Liberia,13/04/2015,3151,
Liberia,14/04/2015,3151,
Mali,14/04/2015,7,
United States of America,14/04/2015,4,1
United Kingdom,14/04/2015,1,
Senegal,14/04/2015,1,0
Nigeria,14/04/2015,19,7
Spain,14/04/2015,1,0
Guinea,14/04/2015,3117,1932
Sierra Leone,14/04/2015,8563,3491
Guinea,15/04/2015,3117,1932
Mali,15/04/2015,7,
United States of America,15/04/2015,4,1
Spain,15/04/2015,1,0
Sierra Leone,15/04/2015,8563,3491
Liberia,15/04/2015,3151,
Senegal,15/04/2015,1,0
Nigeria,15/04/2015,19,7
United Kingdom,15/04/2015,1,
Sierra Leone,16/04/2015,8566,3499
United States of America,16/04/2015,4,1
Liberia,16/04/2015,3151,
Spain,16/04/2015,1,0
Senegal,16/04/2015,1,0
Nigeria,16/04/2015,19,7
Guinea,16/04/2015,3124,1934
United Kingdom,16/04/2015,1,
Mali,16/04/2015,7,
Spain,17/04/2015,1,0
United States of America,17/04/2015,4,1
Mali,17/04/2015,7,
Sierra Leone,17/04/2015,8569,3499
Nigeria,17/04/2015,19,7
Guinea,17/04/2015,3126,1937
Liberia,17/04/2015,3151,
United Kingdom,17/04/2015,1,
Senegal,17/04/2015,1,0
United Kingdom,20/04/2015,1,
Guinea,20/04/2015,3133,1942
Nigeria,20/04/2015,19,7
Mali,20/04/2015,7,
Spain,20/04/2015,1,0
Liberia,20/04/2015,3151,
Senegal,20/04/2015,1,0
United States of America,20/04/2015,4,1
Sierra Leone,20/04/2015,8572,3506
Liberia,21/04/2015,3151,
United States of America,21/04/2015,4,1
Spain,21/04/2015,1,0
Sierra Leone,21/04/2015,8573,3511
